nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
Cargador iPhone + cable lightning 1 Metr...;$ 89.900;$ 34.990;null;-61%;2
Simcard Prepago Tigo 4G;null;$ 3.000;null;null;?
M4 Smart Band Watch Reloj Inteligente Pu...;$ 79.900;$ 37.900;null;-52%;
Celular Moto E6 Plus 64GB;$ 629.900;$ 499.900;$ 449.900;-20%;
Apple IPhone 7 32GB-Negro Mate;null;$ 1.890.402;null;null;8
Celular Samsung Galaxy A30s Negro - 1 Añ...;null;$ 890.000;null;null;6
IPhone 7 Negro 128GB + Airpods 2;$ 2.800.000;$ 2.519.900;null;-10%;13
Smartphone Bmobile AX684 4GB Negro;null;$ 144.900;$ 134.900;null;2
Celular Samsung A01 Rojo;$ 489.900;$ 432.200;null;-11%;
Celular Honor 7S 16GB Dorado;null;$ 399.900;null;null;8
Iphone 6S 128GB - Gris;$ 1.598.649;$ 1.229.799;null;-23%;8
iPhone 11 Pro Max 256GB Grey/Gris;$ 8.999.000;$ 7.999.000;null;-11%;?
"Xperia XZ1  5.2""  64GB 4GB RAM 19MP LTE...";$ 1.399.900;$ 890.900;null;-36%;4
Apple iPhone 8P(64GB)  Plata;$ 3.272.145;$ 2.725.400;null;-16%;?
Iphone 6S 64GB - Gris;$ 1.499.542;$ 1.153.499;null;-23%;8
google pixel-128G Azul;$ 1.096.860;$ 877.488;null;-20%;12
Celular Samsung A10s 32Gb - Azul;$ 719.900;$ 519.900;null;-27%;4
Celular Samsung A51 128GB - Blanco;$ 2.000.000;$ 1.479.700;null;-26%;10
google pixel-XL-128G Blanco;$ 1.133.907;$ 907.126;null;-19%;12
Apple iPhone 6S(64GB)  Oro;$ 1.495.735;$ 1.117.554;null;-25%;13
Sim Card Flash Mobile Colombia / Reposic...;$ 10.000;$ 7.000;null;-30%;4
Apple Iphone Xr 64gb White;$ 4.999.999;$ 3.229.000;null;-35%;13
PIM4 Monedero llavero peluche pollo amor...;$ 23.000;$ 7.500;null;-67%;11
Xiaomi Redmi Note 8 128GB ROM+4GB RAM  -...;$ 859.000;$ 689.000;null;-19%;4
google pixel-2-64G  Azul;$ 1.365.452;$ 1.092.362;null;-19%;12
Apple iPhone 8 (256GB)  Rojo;$ 2.909.083;$ 2.205.258;null;-24%;13
Iphone 5S 64GB - Plata;$ 1.016.755;$ 782.199;null;-23%;8
Huawei Y7 2019 Negro Dual Sim;$ 699.900;$ 509.900;null;-27%;
Celular Xiaomi Redmi Note 9S 64Gb Gray;$ 1.199.900;$ 849.900;null;-29%;
Celular Nokia 106 Color Negro;$ 149.900;$ 139.900;null;-6%;2
google pixel-2-128G  Azul;$ 1.689.615;$ 1.351.692;null;-20%;12
Apple iPhone 6 (64GB);$ 1.219.116;$ 889.343;null;-27%;?
samsung S7 G930F-32G Rosa;$ 1.406.358;$ 1.070.874;null;-23%;11
Celular Huawei P30 Lite - Negro;null;$ 1.299.900;null;null;
CELULAR KRONO K 8 NEGRO;$ 69.900;$ 44.900;null;-35%;11
Celular iPhone 11 64 GB Rojo;$ 3.999.000;$ 3.699.000;null;-7%;?
samsung S10+ G975FD 8+128G  Negro;$ 4.235.680;$ 3.388.544;null;-20%;10
Tarjeta gráfica profesional para juegos...;$ 301.906;$ 215.790;null;-28%;12
iPhone 11 128 GB Color Amarillo;$ 4.599.900;$ 3.599.000;null;-21%;2
Celular Samsung Galaxy Note 8 64GB - Dor...;null;$ 1.399.900;null;null;8
Adaptador Convertidor De Micro Usb Para...;$ 5.000;$ 4.990;null;null;4
google pixel-2XL-128G Blanco;$ 2.041.563;$ 1.633.250;null;-20%;12
